# DL iota
1.203720129404297978e+02 8.632531125751691237e-02
1.234343115315608514e+02 7.755714086542943031e-01
1.677285961085122494e+02 2.369308967291727797e-01
1.622495911326946327e+02 5.949999367028193653e-01
1.546450294762020690e+02 4.697702069587363916e-01
8.986659623911519645e+01 8.269244459866129660e-01
1.550898733069756190e+02 4.349985542230774271e-01
1.401933232625442827e+02 1.079435285950131718e+00
1.440857023519882887e+02 2.136734291249414441e-01
1.570909843597418103e+02 1.268875042783972340e-01
1.607113804530755772e+02 5.981457518705184384e-01
1.932735332525663807e+02 4.436599686013461552e-01
1.512401273926641920e+02 7.209317982748586484e-01
1.479219740990096454e+02 6.879299510166565490e-01
1.501152652934195544e+02 9.423800428095859827e-01
2.114585380260398324e+02 1.777052672814249668e-01
1.370452760415716114e+02 1.729706108401953546e-01
1.565620056518825436e+02 3.812390223655927612e-01
1.819119127971247565e+02 6.703364253467738454e-01
1.455752015115588165e+02 6.895881802711185671e-01
2.189794715124090203e+02 1.082296557479334176e-01
1.674865840581753389e+02 2.386766859207160862e-01
8.976583664898703319e+01 1.022373669527907980e+00
1.469934687031979195e+02 4.033750672665714632e-01
1.023721219563680194e+02 4.442026099426699126e-01
1.516603957504906930e+02 2.990593788163259381e-01
1.915848361516686396e+02 2.657153691757002112e-01
1.809855629243882049e+02 1.850364406390914707e-01
1.049348952991652340e+02 1.003905001467232161e+00
1.426396815856590479e+02 3.742333466124669883e-01
1.336135550554943165e+02 4.675161714327500384e-01
1.249983023204923569e+02 6.389766744270755083e-01
1.520513472419186201e+02 9.065526172796305460e-01
1.383180771406884446e+02 7.829112664339943350e-01
1.698051637386770381e+02 6.097680171399280091e-01
1.403359675986967829e+02 3.933582920757952017e-01
1.247615900074148527e+02 4.199392217874078348e-01
1.451391183712793236e+02 5.061349063154261252e-01
1.998542062382746849e+02 1.009048739207501350e-01
1.584316886615746398e+02 2.435816883843862912e-01
1.137941648529647836e+02 3.295182021470660083e-01
2.028290752987536791e+02 3.966320685092309395e-01
1.735578582025583785e+02 3.784458634131739885e-01
1.853398759965813269e+02 4.649680188442548712e-01
1.885970149798110072e+02 2.744620764575684824e-01
1.345052633055084641e+02 9.773608253207909380e-01
1.722048066222939156e+02 7.896219932270249764e-01
1.389241055340783930e+02 8.470887434738461064e-01
1.336868667394490444e+02 5.382460938403723638e-01
1.667654568580755949e+02 6.625227880040128747e-01
1.669088364301612160e+02 5.371686205128423097e-01
2.091962760635690586e+02 6.134471994740300360e-01
1.410402669430061451e+02 1.935255204146139885e-01
1.910640178686329023e+02 3.590567434121143542e-01
1.718027119861538949e+02 6.838513583254144379e-01
1.948598371119573471e+02 2.870442566982762678e-01
9.148055417220444951e+01 7.762293477443589218e-01
1.513759986509672046e+02 4.266543050249249625e-01
2.212908423179747786e+02 1.724240009403663620e-01
1.386111026174797018e+02 1.049934238419991228e+00
1.944417358958433226e+02 2.187297375010968103e-01
1.245321710448583161e+02 4.153521458158100366e-01
1.398657885145528326e+02 5.442604870449971877e-01
1.738645329740856766e+02 4.059686219235354443e-01
1.485807512814429572e+02 8.366980228949452147e-01
2.119980920414662933e+02 2.778620890835772350e-01
1.382422436593861050e+02 4.757206786747080751e-01
1.247519257717802219e+02 1.041093902149729633e+00
1.377867586980891588e+02 7.187807751328997297e-01
8.951716610450259282e+01 1.196018640724051840e+00
1.228767861720524053e+02 2.038349359445601472e-01
1.936946511883857056e+02 1.447015792704251791e-01
1.772169352488195102e+02 2.944052853390934921e-01
1.383702537106050272e+02 7.969762464939191826e-01
1.895896401321344342e+02 8.254111486416215726e-02
1.214908899128190995e+02 3.864469387301905923e-01
1.647126174057846413e+02 5.122557366847808602e-01
1.413239894656197748e+02 6.143086249840981061e-01
2.012775229855272414e+02 3.009997365130925306e-01
2.042028637879901964e+02 3.603650251848748987e-01
1.658320533718535899e+02 7.660625951307050707e-01
1.835257256082631159e+02 1.169146388122039859e-01
7.713300335145402187e+01 1.102466109521742510e-01
1.409953490567397125e+02 5.267489578032389375e-01
2.062922580938412693e+02 5.247290065396106318e-01
1.510383113879207144e+02 5.163387172868235675e-01
1.740712177738531921e+02 3.716862447483116338e-01
1.798414869333871025e+02 5.606134157035955745e-01
1.851653418308811467e+02 5.198940402107773417e-01
1.932735332525663807e+02 4.436599686013461552e-01
1.321456972046897818e+02 8.968575639696370061e-01
1.681953158787724760e+02 5.396911108556690095e-01
1.286450631169741712e+02 6.845593224840358371e-01
1.296070969308564145e+02 9.485761696057131154e-01
1.477581231094819145e+02 7.141953339354421004e-01
1.716139943786505171e+02 3.485266813038339073e-01
